candidate_id,school_id,school_name,degree_type,source_key,source_name,source_url,value_url,source_row_number,source_school_name,metric_context,gpa,mcat,published_source_count,published_mcat_average,published_gpa_average,published_mcat_spread,published_gpa_spread,data_quality_band,agreement_label,data_confidence,match_score,match_label,notes
cycletrack_acceptance_median:466,do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/A.T. Still - Arizona,466,A.T. Still University of Health Sciences (Arizona),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.69,507,,,,,,review,single_source,cycletrack_context_only_single_source,0.757,review,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:467,do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,467,A.T. Still University of Health Sciences (Kirksville),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.77,505,,,,,,review,single_source,cycletrack_context_only_single_source,0.71,no_match,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:468,md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Alabama,468,University of Alabama at Birmingham,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.91,513,,,,,,review,single_source,cycletrack_context_only_single_source,0.63,no_match,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:469,do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Alabama COM,469,Alabama College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.7,505,1,501.5,3.37,0,0,low,major_conflict,cycletrack_context_only_major_conflict,1,exact,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:470,md_albany_medical_college_albany_new_york,Albany Medical College,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Albany,470,Albany Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,512.5,3,511.7,3.77,1,0.06,high,major_conflict,cycletrack_context_only_major_conflict,1,exact,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:471,md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Albert Einstein,471,Albert Einstein College of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,519,1,516,3.82,0,0,low,major_conflict,cycletrack_context_only_major_conflict,1,exact,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:472,md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Alice Walton,472,Alice L. Walton School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,513.5,,,,,,review,single_source,cycletrack_context_only_single_source,1,exact,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:473,md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,University of Arizona College of Medicine - Phoenix,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Arizona - Phoenix,473,University of Arizona (Phoenix),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,519,,,,,,review,single_source,cycletrack_context_only_single_source,0.754,review,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:474,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Arizona - Tucson,474,University of Arizona (Tucson),CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,513,,,,,,review,single_source,cycletrack_context_only_single_source,0.746,no_match,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
cycletrack_acceptance_median:475,md_tulane_university_school_of_medicine_new_orleans_louisiana,Tulane University School of Medicine,MD,cycletrack_acceptance_median,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer,https://cycletrack.org/explorer/school/Arizona State,475,Arizona State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.96,516,,,,,,review,single_source,cycletrack_context_only_single_source,0.632,no_match,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
