school_id,school_name,degree_type,candidate_source_url,candidate_source_title,search_query,search_provider,result_rank,discovered_date,review_status,notes
md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,MD,https://med.nyu.edu/education/md-degree/md-admissions/by-the-numbers,MD Admissions By the Numbers,NYU Grossman School of Medicine MD admissions by the numbers median MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,https://www.fau.edu/medicine/md/admissions/entering-class/index.php,Entering M.D. Class Profile,Florida Atlantic University Schmidt College of Medicine entering M.D. class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_usf_health_morsani_college_of_medicine_tampa_florida,USF Health Morsani College of Medicine,MD,https://www.usf.edu/health/news/2024/mcom-welcomes-class-of-2028.aspx,USF Health Morsani College of Medicine welcomes newest future doctors,USF Health Morsani College of Medicine class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official university news page surfaced via assisted web search; search result text is not evidence.
md_nova_southeastern_university_dr_kiran_c_patel_college_of_allopathic_medicine_for,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,MD,https://md.nova.edu/admissions/admissions-requirements.html,Medical School Requirements,Nova Southeastern Dr Kiran Patel College of Allopathic Medicine class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school admissions page surfaced via assisted web search; search result text is not evidence.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/academics/doctor-of-medicine/faqs/,Doctor of Medicine FAQs,Florida International Herbert Wertheim College of Medicine class profile MCAT GPA official,google,3,2026-06-08,approved_for_discovery,Official school FAQ surfaced via assisted web search; search result text is not evidence.
md_university_of_miami_leonard_m_miller_school_of_medicine_miami_florida,University of Miami Leonard M. Miller School of Medicine,MD,https://med.miami.edu/-/media/millerschool/about-us/downloads/university-of-miami-miller-school-of-medicine_annual-report_academic-year-2022-2023.ashx?hash=8D9A5EA5662B9EEB5D06E1FDBC90B7E9&rev=c9e7d565b00845cea6e2557d0282689a,University of Miami Miller School of Medicine Annual Report,University of Miami Miller School of Medicine class profile MCAT GPA official annual report,google,1,2026-06-08,approved_for_discovery,Official annual report surfaced via assisted web search; search result text is not evidence. Current parser finds MCAT only unless a GPA appears elsewhere in the report.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,https://med.emory.edu/education/programs/md/class-profile/index.html,M1 Class Profile 2025,Emory School of Medicine M1 class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_wake_forest_university_school_of_medicine_winston_salem_north_carolina,Wake Forest University School of Medicine,MD,https://school.wakehealth.edu/Education-and-Training/MD-Program/Current-Class-Profile,MD Program Class Profile,Wake Forest School of Medicine MD program class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_the_ohio_state_university_college_of_medicine_columbus_ohio,The Ohio State University College of Medicine,MD,https://medicine.osu.edu/education/md/admissions/before-you-apply/entering-class-profile,2025 Entering Class Profile,Ohio State College of Medicine entering class profile MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,MD,https://medicine.vtc.vt.edu/admissions/class-statistics.html,Class Statistics,Virginia Tech Carilion School of Medicine class statistics MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,MD,https://enews.msm.edu/Admissions/doctor-of-medicine/fact-sheet.php,Doctor of Medicine (M.D.) Degree Fact Sheet,Morehouse School of Medicine Doctor of Medicine fact sheet MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official school URL surfaced via assisted web search; search result text is not evidence.
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,https://ppac.ecu.edu/advising/pre-professional/medicine/,Medicine | Center for Pre-Professional Advising | ECU,Brody School of Medicine class profile MCAT GPA official ECU,google,1,2026-06-08,approved_for_discovery,Official ECU advising page surfaced via assisted web search; source reports Brody School of Medicine Class of 2029 accepted-student GPA and MCAT. Search result text is not evidence.
md_east_tennessee_state_university_james_h_quillen_college_of_medicine_johnson_city,East Tennessee State University James H. Quillen College of Medicine,MD,https://www.etsu.edu/com/admissions/collegeinfo/statistics.php,Statistics of Entering Classes,East Tennessee State University Quillen College of Medicine average GPA MCAT entering class official,google,1,2026-06-08,approved_for_discovery,Official admissions statistics page surfaced via assisted web search; source reports current accepted-student total GPA and MCAT. Fetch may require certificate-verification fallback. Search result text is not evidence.
md_medical_university_of_south_carolina_college_of_medicine_charleston_south_caroli,Medical University of South Carolina College of Medicine,MD,https://medicine.musc.edu/about/facts,Facts & Figures | MUSC College of Medicine,Medical University of South Carolina College of Medicine facts figures MCAT GPA official,google,1,2026-06-08,approved_for_discovery,Official college facts page surfaced via assisted web search; source reports Fall 2025 incoming medical degree class GPA and MCAT. Search result text is not evidence.
md_medical_college_of_georgia_at_augusta_university_augusta_georgia,Medical College of Georgia at Augusta University,MD,https://www.augusta.edu/mcg/admissions/documents/2025-fact-sheet-8.5.2025.pdf,2025 Fact Sheet,Medical College of Georgia fact sheet class profile MCAT GPA official pdf,google,1,2026-06-08,approved_for_discovery,Official admissions fact sheet surfaced via assisted web search; source reports Class of 2028 overall GPA and average MCAT. Search result text is not evidence.
md_mercer_university_school_of_medicine_macon_georgia,Mercer University School of Medicine,MD,https://medicine.mercer.edu/admissions/doctor-of-medicine/,Doctor of Medicine,Mercer University School of Medicine Class of 2029 average MCAT overall GPA official,google,1,2026-06-08,approved_for_discovery,Official MD admissions page surfaced via assisted web search; source reports Class of 2029 average MCAT and average overall GPA. Search result text is not evidence.
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,https://www.alwmedschool.org/admissions/class-profiles,Class Profiles,Alice L. Walton School of Medicine class profiles median MCAT mean GPA official,google,1,2026-06-08,approved_for_discovery,Official admissions class profiles page surfaced via assisted web search; source reports Class of 2029 median MCAT and mean GPA. Search result text is not evidence.
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,https://medicine.cnsu.edu/news/articles/2025-Welcome%20Class%20of%202029.php,Welcome Class of 2029,California Northstate University College of Medicine class of 2029 average MCAT overall GPA official,google,1,2026-06-08,approved_for_discovery,Official college news page surfaced via assisted web search; source reports Class of 2029 average MCAT and average overall GPA. Fetch may require certificate-verification fallback. Search result text is not evidence.
