gpa_band,mcat_band,acceptees,applicants,acceptance_rate,acceptance_rate_band,source_name,source_url,source_publication_date,notes
Greater than 3.79,Less than 486,12,278,4.3,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,486-489,13,420,3.1,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,490-493,62,935,6.6,<10%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,494-497,370,2004,18.5,10-24.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,498-501,1105,3826,28.9,25-39.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,502-505,2781,6914,40.2,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,506-509,5208,9948,52.4,40-54.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,510-513,8440,12646,66.7,55-69.9%,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,514-517,9018,11973,75.3,70%+,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
Greater than 3.79,Greater than 517,10645,12843,82.9,70%+,AAMC Table A-23 MCAT and GPA Grid,https://www.aamc.org/media/6091/download,2023-10-25,"AAMC Table A-23, MCAT and GPA Grid for applicants and acceptees to U.S. MD-granting medical schools, 2021-2022 through 2023-2024 aggregated."
