school_id,school_name,degree_type,state_abbrev,school_website,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,official_match_reason,discovery_method,search_or_sitemap_query,source_last_checked,fetch_status,review_status,notes
md_albany_medical_college_albany_new_york,Albany Medical College,MD,NY,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,http://www.amc.edu/Academic/Undergraduate_Admissions/index.cfm,Albany Medical College,admissions_page,amc.edu,official_school_domain,1.00,Candidate host exactly matches school website host,third_party_school_source_url_seed,"""Albany Medical College"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_404,official_domain_seed_needs_stats_path,URL came from a third-party table's school_source_url field and is used only as an official candidate seed; values from that table are not evidence. match=exact score=1.
md_albany_medical_college_albany_new_york,Albany Medical College,MD,NY,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,Letter requirement URL from normalized source table,pdf_report,amc.edu,official_school_domain,1.00,Candidate host exactly matches school website host,cycletrack_md_requirement_url; normalized_letter_requirement_url,"""Albany Medical College"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_404,accepted_for_fetch,Candidate URL only; letter requirement page is not score evidence unless fetched class-profile context is found. Matched CycleTrack requirement URL as official candidate seed; match=exact score=1.
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,NY,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,Candidate host exactly matches school website host,cycletrack_md_requirement_url; normalized_letter_requirement_url,"""Albert Einstein College of Medicine"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_403,official_domain_seed_needs_stats_path,Candidate URL only; letter requirement page is not score evidence unless fetched class-profile context is found. Matched CycleTrack requirement URL as official candidate seed; match=exact score=1.
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,NY,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,Letter requirement URL from normalized source table,admissions_page,einsteinmed.edu,official_school_domain,1.00,Candidate host exactly matches school website host,cycletrack_md_phd_requirement_url; normalized_letter_requirement_url,"""Albert Einstein College of Medicine"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_403,official_domain_seed_needs_stats_path,Candidate URL only; letter requirement page is not score evidence unless fetched class-profile context is found. Matched CycleTrack requirement URL as official candidate seed; match=exact score=1.
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,AR,https://www.alwmedschool.org/admissions/,https://www.alwmedschool.org/admissions/,Letter requirement URL from normalized source table,admissions_page,alwmedschool.org,official_school_domain,1.00,Candidate host exactly matches school website host,cycletrack_md_requirement_url; normalized_letter_requirement_url,"""Alice L. Walton School of Medicine"" entering class profile MCAT GPA matriculants official",2026-06-08,fetched,official_domain_seed_needs_stats_path,Candidate URL only; letter requirement page is not score evidence unless fetched class-profile context is found. Matched CycleTrack requirement URL as official candidate seed; match=exact score=1.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,OH,http://medicine.wright.edu/admissions,http://medicine.wright.edu/about/department-annual-reports,Sitemap stats-like URL,annual_report,medicine.wright.edu,official_school_domain,1.00,Candidate host exactly matches school website host,official_domain_sitemap,"""Boonshoft School of Medicine Wright State University"" entering class profile MCAT GPA matriculants official",2026-06-08,fetched,accepted_for_fetch,Discovered from sitemap rooted at http://medicine.wright.edu/.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,OH,http://medicine.wright.edu/admissions,http://medicine.wright.edu/admissions,Wright State University Boonshoft School of Medicine,admissions_page,medicine.wright.edu,official_school_domain,1.00,Candidate host exactly matches school website host,third_party_school_source_url_seed,"""Boonshoft School of Medicine Wright State University"" entering class profile MCAT GPA matriculants official",2026-06-08,fetched,official_domain_seed_needs_stats_path,URL came from a third-party table's school_source_url field and is used only as an official candidate seed; values from that table are not evidence. match=high_confidence score=1.
md_boonshoft_school_of_medicine_wright_state_university_dayton_ohio,Boonshoft School of Medicine Wright State University,MD,OH,http://medicine.wright.edu/admissions,http://medicine.wright.edu/admissions/welcome-to-the-incoming-class,Sitemap stats-like URL,class_profile,medicine.wright.edu,official_school_domain,1.00,Candidate host exactly matches school website host,official_admissions_one_hop_link; official_domain_sitemap,"""Boonshoft School of Medicine Wright State University"" entering class profile MCAT GPA matriculants official",2026-06-08,fetched,accepted_for_fetch,Discovered from sitemap rooted at http://medicine.wright.edu/. Found as a one-hop link from http://medicine.wright.edu/admissions.
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,NC,http://www.ecu.edu/bsomadmissions/,http://www.ecu.edu/bsomadmissions/,East Carolina University Brody School of Medicine,admissions_page,ecu.edu,official_school_domain,1.00,Candidate host exactly matches school website host,third_party_school_source_url_seed,"""Brody School of Medicine at East Carolina University"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_404,official_domain_seed_needs_stats_path,URL came from a third-party table's school_source_url field and is used only as an official candidate seed; values from that table are not evidence. match=high_confidence score=1.
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,CA,http://medicine.cnsu.edu/students-com/admissions,http://medicine.cnsu.edu/students-com/admissions,California Northstate University College of Medicine,admissions_page,medicine.cnsu.edu,official_school_domain,1.00,Candidate host exactly matches school website host,third_party_school_source_url_seed,"""California Northstate University College of Medicine"" entering class profile MCAT GPA matriculants official",2026-06-08,fetch_failed_http_403,official_domain_seed_needs_stats_path,URL came from a third-party table's school_source_url field and is used only as an official candidate seed; values from that table are not evidence. match=exact score=1.
