school_id,school_name,degree_type,candidate_count,official_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
md_university_of_alabama_at_birmingham_marnix_e_heersink_school_of_medicine_birming,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_frederick_p_whiddon_college_of_medicine_at_the_university_of_south_alabama_mobil,Frederick P. Whiddon College of Medicine at the University of South Alabama,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_arizona_college_of_medicine_phoenix_phoenix_arizona,University of Arizona College of Medicine - Phoenix,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_arkansas_for_medical_sciences_college_of_medicine_little_rock_arka,University of Arkansas for Medical Sciences College of Medicine,MD,4,3,4,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_california_university_of_science_and_medicine_school_of_medicine_colton_californ,California University of Science and Medicine - School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_california_davis_school_of_medicine_davis_california,"University of California, Davis School of Medicine",MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_california_northstate_university_college_of_medicine_elk_grove_california,California Northstate University College of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_california_irvine_school_of_medicine_irvine_california,"University of California, Irvine School of Medicine",MD,3,2,3,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_loma_linda_university_school_of_medicine_loma_linda_california,Loma Linda University School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_charles_r_drew_university_of_medicine_and_science_college_of_medicine_los_angele,Charles R. Drew University of Medicine and Science College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_david_geffen_school_of_medicine_at_ucla_los_angeles_california,David Geffen School of Medicine at UCLA,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_keck_school_of_medicine_of_the_university_of_southern_california_los_angeles_cal,Keck School of Medicine of the University of Southern California,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_stanford_university_school_of_medicine_palo_alto_california,Stanford University School of Medicine,MD,3,2,3,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_kaiser_permanente_bernard_j_tyson_school_of_medicine_pasadena_california,Kaiser Permanente Bernard J. Tyson School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_california_riverside_school_of_medicine_riverside_california,"University of California, Riverside School of Medicine",MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_california_san_diego_school_of_medicine_san_diego_california,"University of California, San Diego School of Medicine",MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_california_san_francisco_school_of_medicine_san_francisco_californ,"University of California, San Francisco School of Medicine",MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_colorado_school_of_medicine_denver_colorado,University of Colorado School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_connecticut_school_of_medicine_farmington_connecticut,University of Connecticut School of Medicine,MD,4,4,4,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_yale_school_of_medicine_new_haven_connecticut,Yale School of Medicine,MD,22,20,22,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_frank_h_netter_md_school_of_medicine_at_quinnipiac_university_north_haven_connec,Frank H. Netter MD School of Medicine at Quinnipiac University,MD,2,2,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_george_washington_university_school_of_medicine_and_health_sciences_washington_d,George Washington University School of Medicine and Health Sciences,MD,9,8,9,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_georgetown_university_school_of_medicine_washington_district_of_columbia,Georgetown University School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_howard_university_college_of_medicine_washington_district_of_columbia,Howard University College of Medicine,MD,8,8,8,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_charles_e_schmidt_college_of_medicine_at_florida_atlantic_university_boca_raton_,Charles E. Schmidt College of Medicine at Florida Atlantic University,MD,3,2,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_nova_southeastern_university_dr_kiran_c_patel_college_of_allopathic_medicine_for,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_florida_college_of_medicine_gainesville_florida,University of Florida College of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,6,6,6,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_miami_leonard_m_miller_school_of_medicine_miami_florida,University of Miami Leonard M. Miller School of Medicine,MD,2,2,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_central_florida_college_of_medicine_orlando_florida,University of Central Florida College of Medicine,MD,9,8,9,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_florida_state_university_college_of_medicine_tallahassee_florida,Florida State University College of Medicine,MD,21,20,21,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_usf_health_morsani_college_of_medicine_tampa_florida,USF Health Morsani College of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_georgia_school_of_medicine_athens_georgia,University of Georgia School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,10,10,10,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,MD,3,1,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_medical_college_of_georgia_at_augusta_university_augusta_georgia,Medical College of Georgia at Augusta University,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_mercer_university_school_of_medicine_macon_georgia,Mercer University School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_john_a_burns_school_of_medicine_university_of_hawaii_at_manoa_honolulu_hawaii,John A. Burns School of Medicine University of Hawaii at Manoa,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_northwestern_university_feinberg_school_of_medicine_chicago_illinois,Northwestern University Feinberg School of Medicine,MD,2,2,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_rush_medical_college_of_rush_university_medical_center_chicago_illinois,Rush Medical College of Rush University Medical Center,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_chicago_division_of_the_biological_sciences_the_pritzker_school_of,"University of Chicago Division of the Biological Sciences, The Pritzker School of Medicine",MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_illinois_college_of_medicine_chicago_illinois,University of Illinois College of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_loyola_university_chicago_stritch_school_of_medicine_maywood_illinois,Loyola University Chicago Stritch School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_chicago_medical_school_at_rosalind_franklin_university_of_medicine_and_science_n,Chicago Medical School at Rosalind Franklin University of Medicine and Science,MD,2,2,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_southern_illinois_university_school_of_medicine_springfield_illinois,Southern Illinois University School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_carle_illinois_college_of_medicine_urbana_champaign_illinois,Carle Illinois College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_indiana_university_school_of_medicine_indianapolis_indiana,Indiana University School of Medicine,MD,14,14,14,2,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_iowa_roy_j_and_lucille_a_carver_college_of_medicine_iowa_city_iowa,University of Iowa Roy J. and Lucille A. Carver College of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_kansas_school_of_medicine_kansas_city_kansas,University of Kansas School of Medicine,MD,10,9,10,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_university_of_kentucky_college_of_medicine_lexington_kentucky,University of Kentucky College of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_louisville_school_of_medicine_louisville_kentucky,University of Louisville School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_lsu_health_sciences_center_school_of_medicine_in_new_orleans_new_orleans_louisia,LSU Health Sciences Center School of Medicine in New Orleans,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_tulane_university_school_of_medicine_new_orleans_louisiana,Tulane University School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_louisiana_state_university_school_of_medicine_in_shreveport_shreveport_louisiana,Louisiana State University School of Medicine in Shreveport,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_johns_hopkins_university_school_of_medicine_baltimore_maryland,Johns Hopkins University School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_maryland_school_of_medicine_baltimore_maryland,University of Maryland School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_uniformed_services_university_of_the_health_sciences_f_edward_h_bert_school_of_m,"Uniformed Services University of the Health Sciences, F. Edward Hébert School of Medicine",MD,2,2,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_boston_university_aram_v_chobanian_and_edward_avedisian_school_of_medicine_bosto,Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_harvard_medical_school_boston_massachusetts,Harvard Medical School,MD,4,1,4,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_tufts_university_school_of_medicine_boston_massachusetts,Tufts University School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_massachusetts_t_h_chan_school_of_medicine_worcester_massachusetts,University of Massachusetts T.H. Chan School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_michigan_medical_school_ann_arbor_michigan,University of Michigan Medical School,MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_wayne_state_university_school_of_medicine_detroit_michigan,Wayne State University School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_michigan_state_university_college_of_human_medicine_east_lansing_michigan,Michigan State University College of Human Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_western_michigan_university_homer_stryker_m_d_school_of_medicine_kalamazoo_michi,Western Michigan University Homer Stryker M.D. School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_covenant_healthcare_college_of_medicine_at_central_michigan_university_mount_ple,Covenant HealthCare College of Medicine at Central Michigan University,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_oakland_university_william_beaumont_school_of_medicine_rochester_michigan,Oakland University William Beaumont School of Medicine,MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_university_of_minnesota_medical_school_minneapolis_minnesota,University of Minnesota Medical School,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_mayo_clinic_alix_school_of_medicine_rochester_minnesota,Mayo Clinic Alix School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_mississippi_school_of_medicine_jackson_mississippi,University of Mississippi School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_missouri_columbia_school_of_medicine_columbia_missouri,University of Missouri-Columbia School of Medicine,MD,5,4,5,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_university_of_missouri_kansas_city_school_of_medicine_kansas_city_missouri,University of Missouri-Kansas City School of Medicine,MD,9,9,9,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_saint_louis_university_school_of_medicine_st_louis_missouri,Saint Louis University School of Medicine,MD,7,6,7,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_washington_university_in_st_louis_school_of_medicine_st_louis_missouri,Washington University in St. Louis School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,3,2,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_nebraska_college_of_medicine_omaha_nebraska,University of Nebraska College of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_kirk_kerkorian_school_of_medicine_at_unlv_las_vegas_nevada,Kirk Kerkorian School of Medicine at UNLV,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_roseman_university_college_of_medicine_las_vegas_nevada,Roseman University College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_university_of_nevada_reno_school_of_medicine_reno_nevada,"University of Nevada, Reno School of Medicine",MD,2,1,2,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_geisel_school_of_medicine_at_dartmouth_hanover_new_hampshire,Geisel School of Medicine at Dartmouth,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_cooper_medical_school_of_rowan_university_camden_new_jersey,Cooper Medical School of Rowan University,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_rutgers_new_jersey_medical_school_newark_new_jersey,Rutgers New Jersey Medical School,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_hackensack_meridian_school_of_medicine_nutley_new_jersey,Hackensack Meridian School of Medicine,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_rutgers_robert_wood_johnson_medical_school_piscataway_new_jersey,"Rutgers, Robert Wood Johnson Medical School",MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_new_mexico_school_of_medicine_albuquerque_new_mexico,University of New Mexico School of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_albany_medical_college_albany_new_york,Albany Medical College,MD,3,2,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_suny_downstate_health_sciences_university_college_of_medicine_brooklyn_new_york,SUNY Downstate Health Sciences University College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_jacobs_school_of_medicine_and_biomedical_sciences_at_the_university_at_buffalo_b,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_donald_and_barbara_zucker_school_of_medicine_at_hofstra_northwell_hempstead_new_,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_nyu_grossman_long_island_school_of_medicine_mineola_new_york,NYU Grossman Long Island School of Medicine,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,2,0,2,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_cuny_school_of_medicine_new_york_new_york,CUNY School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_columbia_university_vagelos_college_of_physicians_and_surgeons_new_york_new_york,Columbia University Vagelos College of Physicians and Surgeons,MD,4,3,4,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_icahn_school_of_medicine_at_mount_sinai_new_york_new_york,Icahn School of Medicine at Mount Sinai,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_nyu_grossman_school_of_medicine_new_york_new_york,NYU Grossman School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_weill_cornell_medicine_new_york_new_york,Weill Cornell Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_rochester_school_of_medicine_and_dentistry_rochester_new_york,University of Rochester School of Medicine and Dentistry,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_renaissance_school_of_medicine_at_stony_brook_university_stony_brook_new_york,Renaissance School of Medicine at Stony Brook University,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_state_university_of_new_york_upstate_medical_university_alan_and_marlene_norton_,State University of New York Upstate Medical University Alan and Marlene Norton College of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_new_york_medical_college_valhalla_new_york,New York Medical College,MD,3,1,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,MD,0,0,0,0,yes,yes,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,4,3,4,0,yes,yes,md_official_candidate_pending_extraction,Run med-school-extract-md-official-stats --fetch.
md_methodist_university_cape_fear_valley_health_school_of_medicine_fayetteville_nor,Methodist University Cape Fear Valley Health School of Medicine,MD,0,0,0,0,no,no,missing_candidate,"Find a public official MD class profile, annual report, fact book, or admissions statistics page."
md_brody_school_of_medicine_at_east_carolina_university_greenville_north_carolina,Brody School of Medicine at East Carolina University,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_wake_forest_university_school_of_medicine_winston_salem_north_carolina,Wake Forest University School of Medicine,MD,1,1,1,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_university_of_north_dakota_school_of_medicine_and_health_sciences_grand_forks_no,University of North Dakota School of Medicine and Health Sciences,MD,1,0,1,0,yes,yes,md_official_domain_seed_only,Find a stats/profile/report path on the official domain.
md_university_of_cincinnati_college_of_medicine_cincinnati_ohio,University of Cincinnati College of Medicine,MD,2,1,2,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
md_case_western_reserve_university_school_of_medicine_cleveland_ohio,Case Western Reserve University School of Medicine,MD,3,2,3,1,yes,yes,md_official_stats_applied,Review MD official conflict report for large deltas.
