source_key,source_name,source_url,source_row_number,explorer_slug,explorer_url,school_name_raw,school_name_clean,search_text,school_type,city,state,country,setting,institution_type,applications_tracked,combined_degree_applications_tracked,notes
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,1,A.T. Still - Arizona,https://cycletrack.org/explorer/school/A.T. Still - Arizona,A.T. Still University of Health Sciences (Arizona),A.T. Still University of Health Sciences (Arizona),A.T. Still - Arizona A.T. Still University-School of Osteopathic Medicine in Arizona A.T. Still University of Health Sciences (Arizona),DO,Mesa,AZ,USA,Suburban,Private Institution,729,5,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,2,A.T. Still - Kirksville,https://cycletrack.org/explorer/school/A.T. Still - Kirksville,A.T. Still University of Health Sciences (Kirksville),A.T. Still University of Health Sciences (Kirksville),A.T. Still - Kirksville A.T. Still University of Health Sciences - Kirksville College of Osteopathic Medicine A.T. Still University of Health Sciences (Kirksville),DO,Kirksville,MO,USA,Rural,Private Institution,538,3,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,3,Alabama,https://cycletrack.org/explorer/school/Alabama,University of Alabama at Birmingham,University of Alabama at Birmingham,Alabama University of Alabama at Birmingham Marnix E. Heersink School of Medicine University of Alabama at Birmingham,MD,Birmingham,AL,USA,Urban,Public Institution,943,182,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,4,Alabama COM,https://cycletrack.org/explorer/school/Alabama COM,Alabama College of Osteopathic Medicine,Alabama College of Osteopathic Medicine,Alabama COM Alabama College of Osteopathic Medicine Alabama College of Osteopathic Medicine,DO,Dothan,AL,USA,Suburban,Private Institution,474,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,5,Albany,https://cycletrack.org/explorer/school/Albany,Albany Medical College,Albany Medical College,Albany Albany Medical College Albany Medical College,MD,Albany,NY,USA,Urban,Private Institution,4743,16,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,6,Albert Einstein,https://cycletrack.org/explorer/school/Albert Einstein,Albert Einstein College of Medicine,Albert Einstein College of Medicine,Albert Einstein Albert Einstein College of Medicine Albert Einstein College of Medicine,MD,Bronx,NY,USA,Urban,Private Institution,6827,506,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,7,Alberta,https://cycletrack.org/explorer/school/Alberta,University of Alberta,University of Alberta,Alberta University of Alberta Faculty of Medicine & Dentistry University of Alberta,MD,Edmonton,AB,CAN,Urban,Public Institution,34,5,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,8,Alice Walton,https://cycletrack.org/explorer/school/Alice Walton,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,Alice Walton Alice L. Walton School of Medicine Alice L. Walton School of Medicine,MD,Bentonville,AR,USA,Rural,Private Institution,509,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,9,Arizona - Phoenix,https://cycletrack.org/explorer/school/Arizona - Phoenix,University of Arizona (Phoenix),University of Arizona (Phoenix),Arizona - Phoenix University of Arizona College of Medicine - Phoenix University of Arizona (Phoenix),MD,Phoenix,AZ,USA,Urban,Public Institution,2044,67,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,10,Arizona - Tucson,https://cycletrack.org/explorer/school/Arizona - Tucson,University of Arizona (Tucson),University of Arizona (Tucson),Arizona - Tucson University of Arizona College of Medicine University of Arizona (Tucson),MD,Tuscon,AZ,USA,Suburban,Public Institution,1482,118,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,11,Arizona State,https://cycletrack.org/explorer/school/Arizona State,Arizona State University,Arizona State University,Arizona State ASU John Shufeldt School of Medicine and Medical Engineering Arizona State University,MD,Phoenix,AZ,USA,Urban,Public Institution,59,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,12,Arkansas,https://cycletrack.org/explorer/school/Arkansas,University of Arkansas,University of Arkansas,Arkansas University of Arkansas for Medical Sciences College of Medicine University of Arkansas,MD,Little Rock,AR,USA,Urban,Public Institution,291,18,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,13,Arkansas COM,https://cycletrack.org/explorer/school/Arkansas COM,Arkansas College of Osteopathic Medicine,Arkansas College of Osteopathic Medicine,Arkansas COM Arkansas College of Osteopathic Medicine Arkansas College of Osteopathic Medicine,DO,Fort Smith,AR,USA,Rural,Private Institution,316,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,14,Baptist Health Sciences University COM,https://cycletrack.org/explorer/school/Baptist Health Sciences University COM,Baptist Health Sciences University,Baptist Health Sciences University,Baptist Health Sciences University COM Baptist Health Sciences University College of Osteopathic Medicine Baptist Health Sciences University,DO,Memphis,TN,USA,Urban,Private Institution,206,1,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,15,Baylor,https://cycletrack.org/explorer/school/Baylor,Baylor,Baylor,Baylor Baylor College of Medicine Baylor,MD,Houston,TX,USA,Urban,Private Institution,1744,339,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,16,Belmont University,https://cycletrack.org/explorer/school/Belmont University,Belmont University,Belmont University,"Belmont University Thomas F. Frist, Jr. College of Medicine at Belmont University Belmont University",MD,Nashville,TN,USA,Urban,Private Institution,707,,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,17,Boston,https://cycletrack.org/explorer/school/Boston,Boston University,Boston University,Boston Boston University Aram V. Chobanian & Edward Avedisian School of Medicine Boston University,MD,Boston,MA,USA,Urban,Private Institution,5552,289,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,18,Brown,https://cycletrack.org/explorer/school/Brown,Brown University,Brown University,Brown The Warren Alpert Medical School of Brown University Brown University,MD,Providence,RI,USA,Urban,Private Institution,5144,225,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,19,Buffalo,https://cycletrack.org/explorer/school/Buffalo,University at Buffalo,University at Buffalo,Buffalo Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo University at Buffalo,MD,Buffalo,NY,USA,Urban,Public Institution,1676,119,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,20,Burrell COM,https://cycletrack.org/explorer/school/Burrell COM,Burrell College of Osteopathic Medicine,Burrell College of Osteopathic Medicine,Burrell COM Burrell College of Osteopathic Medicine Burrell College of Osteopathic Medicine,DO,Las Cruces,NM,USA,Suburban,Private Institution,621,2,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,21,Calgary,https://cycletrack.org/explorer/school/Calgary,University of Calgary,University of Calgary,Calgary University of Calgary Cumming School of Medicine University of Calgary,MD,Calgary,AB,CAN,Urban,Public Institution,55,6,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,22,California Health Sciences,https://cycletrack.org/explorer/school/California Health Sciences,California Health Sciences University,California Health Sciences University,California Health Sciences California Health Sciences University College of Osteopathic Medicine California Health Sciences University,DO,Clovis,CA,USA,Suburban,Private Institution,428,3,
cycletrack_explorer,CycleTrack School Explorer,https://cycletrack.org/explorer,23,California Northstate,https://cycletrack.org/explorer/school/California Northstate,California Northstate University,California Northstate University,California Northstate California Northstate University College of Medicine California Northstate University,MD,Elk Grove,CA,USA,Suburban,Private Institution,688,11,
