school_id,school_name,degree_type,requirement_type,requirement_url,source_name,source_url,source_last_checked,data_confidence,source_table,source_row_number,match_score,match_label,notes
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,DO,https://www.acom.edu/howtoapply/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,331,1,exact,
md_albany_medical_college_albany_new_york,Albany Medical College,MD,MD,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,3,1,exact,
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,MD,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,5,1,exact,
md_albert_einstein_college_of_medicine_new_york_new_york,Albert Einstein College of Medicine,MD,MD-PhD,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,6,1,exact,
md_alice_l_walton_school_of_medicine_bentonville_arkansas,Alice L. Walton School of Medicine,MD,MD,https://www.alwmedschool.org/admissions/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,7,1,exact,
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,DO,https://arcom.achehealth.edu/admissions/admissions-requirements,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,332,1,exact,
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,DO,https://kansascom.kansashsc.org/admissions/application-process/admission-requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,346,0.972,high_confidence,
do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,DO,DO,https://www.vcom.edu/admissions/applying/step-by-step,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,341,0.933,high_confidence,
md_geisinger_commonwealth_school_of_medicine_scranton_pennsylvania,Geisinger Commonwealth School of Medicine,MD,MD,https://www.geisinger.edu/education/admissions/md-admissions/application-process,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,85,1,exact,
md_hackensack_meridian_school_of_medicine_nutley_new_jersey,Hackensack Meridian School of Medicine,MD,MD,https://www.hmsom.org/admissions/requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,91,1,exact,
md_harvard_medical_school_boston_massachusetts,Harvard Medical School,MD,MD,https://meded.hms.harvard.edu/admissions-letters-evaluation,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,93,1,exact,
md_harvard_medical_school_boston_massachusetts,Harvard Medical School,MD,MD-PhD,https://www.hms.harvard.edu/md_phd/admissions/process.html,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,94,1,exact,
do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,DO,DO,https://www.idahocom.org/admission-aid/requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,343,1,exact,
do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,DO,DO,https://lecom.edu/college-of-osteopathic-medicine/com-entrance-requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,350,1,exact,
do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,DO,DO,https://lecom.edu/college-of-osteopathic-medicine/com-entrance-requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,349,1,exact,
md_medical_college_of_wisconsin_milwaukee_wisconsin,Medical College of Wisconsin,MD,MD,https://www.mcw.edu/education/medical-school/prospective-students/admissions,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,139,1,exact,
md_medical_college_of_wisconsin_milwaukee_wisconsin,Medical College of Wisconsin,MD,MD-PhD,https://www.mcw.edu/education/medical-scientist-training-program/admissions,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,140,1,exact,
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,DO,https://msom.org/admissions/admissions-requirements,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,354,1,exact,
md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,MD,MD,https://www.msm.edu/Admissions/doctor-of-medicine/admissions-requirements.php,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,163,1,exact,
md_new_york_medical_college_valhalla_new_york,New York Medical College,MD,MD-PhD,https://www.nymc.edu/graduate-school-of-basic-medical-sciences-gsbms/admissions--financial-aid/admission-requirements/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,174,1,exact,MD requirement link missing or placeholder
do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,DO,DO,https://www.noordacom.org/faqs/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,360,1,exact,
do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,Orlando College of Osteopathic Medicine,DO,DO,https://ocom.org/admissionsrequirements,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,365,1,exact,
do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,Philadelphia College of Osteopathic Medicine,DO,DO,https://www.pcom.edu/admissions/apply/osteopathic-medicine.html,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,367,1,exact,
do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,Philadelphia College of Osteopathic Medicine Georgia,DO,DO,https://www.pcom.edu/admissions/apply/osteopathic-medicine.html,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,368,1,exact,
do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,Philadelphia College of Osteopathic Medicine South Georgia,DO,DO,https://www.pcom.edu/do/apply.html,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,369,1,exact,
do_wvsom_west_virginia_school_of_osteopathic_medicine_lewisburg_west_virginia,West Virginia School of Osteopathic Medicine,DO,DO,https://www.wvsom.edu/admissions/application-requirements,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,377,1,exact,
md_yale_school_of_medicine_new_haven_connecticut,Yale School of Medicine,MD,MD,https://medicine.yale.edu/md-program/admissions/how-to-apply/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,327,1,exact,
md_yale_school_of_medicine_new_haven_connecticut,Yale School of Medicine,MD,MD-PhD,https://medicine.yale.edu/md-program/admissions/how-to-apply/,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2026-06-05,cycletrack_requirement_link_safe_match,cycletrack_lor_links.csv,328,1,exact,
